method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,batch_effects_amount,batch_effects_removed,assigned
scmap_cluster...36,0.8150257004621808,0.7551108819639752,0.8552600042007152,NA,NA,NA,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,FALSE
scmap_cell...37,0.8421181966882049,0.7827805026985349,0.8765423909924742,NA,NA,NA,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,FALSE
chetah...38,0.7007395865515369,0.7284746066824161,0.7649136634162881,NA,NA,NA,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,FALSE
singlecellnet...39,0.8775887563786037,0.8273311326261161,0.9045071849891604,NA,NA,NA,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,FALSE
garnett...40,0.07435448724563869,0.1358826313586155,0.4571141401703517,NA,NA,NA,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,FALSE
singleR...41,0.8960977931026474,0.8498998468125321,0.9192426531560691,NA,NA,NA,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,FALSE
cellassign...42,0.8474764981761629,0.7936386704445137,0.8808060470808036,NA,NA,NA,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,FALSE
seurat...43,0.7827067532440175,0.8096494880593118,0.8420554145758107,NA,NA,NA,FALSE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,NA
tscan...44,0.24639836152712113,0.38741056736663254,0.44092737660778636,NA,NA,NA,FALSE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,NA
sc3...45,0.7711159697858432,0.7577234881512287,0.831181887411439,NA,NA,NA,FALSE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,NA
