method,ARI,AMI,FMI,unlabeled_pctg,supervised,sample_pctg,assigned
sc3...103,0.9890762164529291,0.9406164133686131,0.9918245882257193,NA,FALSE,0.08,TRUE
liger...104,0.5433262876518414,0.6163998291879679,0.6539098111800163,NA,FALSE,0.08,TRUE
seurat...105,0.4890329226270396,0.6146659636295294,0.585011634146374,NA,FALSE,0.08,FALSE
tscan...106,0.37757455312294297,0.5189103924738251,0.4772894841434826,NA,FALSE,0.08,FALSE
sc3...107,0.03919919518258412,0.22289994618817796,0.2847050895425212,NA,FALSE,0.08,FALSE
liger...108,0.2239758752897343,0.4528646183894419,0.4095748139128957,NA,FALSE,0.08,FALSE
seurat...109,0.5737326954890288,0.6726495599075025,0.6493621722647732,NA,FALSE,0.1,NA
tscan...110,0.4387332490093787,0.5751438904672077,0.5219486125548352,NA,FALSE,0.1,NA
sc3...111,0.08722074006483145,0.3227364296646719,0.29862026143044373,NA,FALSE,0.1,NA
liger...112,0.301543069879609,0.5121952883335841,0.4813571128104669,NA,FALSE,0.1,NA
seurat...113,0.9099436207084085,0.8858622595738791,0.9327819781219132,NA,FALSE,0.1,TRUE
tscan...114,0.6601473844282775,0.6253257132473338,0.7408253763054619,NA,FALSE,0.1,TRUE
sc3...115,0.9929204718000445,0.9537317960418565,0.9947135789298458,NA,FALSE,0.1,TRUE
liger...116,0.6318565086188263,0.6395621755181682,0.7223467244093363,NA,FALSE,0.1,TRUE
seurat...117,0.4965450427410448,0.6207346856281734,0.5935358853680596,NA,FALSE,0.1,FALSE
tscan...118,0.3879497347728848,0.5418782561980761,0.486223749810429,NA,FALSE,0.1,FALSE
sc3...119,0.030072529412842712,0.20043819797559484,0.2912235002353014,NA,FALSE,0.1,FALSE
liger...120,0.2503826153299693,0.4463559643551552,0.4669102672876648,NA,FALSE,0.1,FALSE
